variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,method,brier,nll,ece
consequence,lightgbm,2,21520,2391,354,0.8,0.4067796610169492,0.5393258426966292,0.8972532166224286,0.6870485566937824,0.5237633827934205,0.7288135593220338,isotonic,0.08714284898162594,0.30391731322222415,0.09537899808400871
consequence,lightgbm,3,21520,2391,354,0.8125,0.2937853107344633,0.4315352697095436,0.9101446682697776,0.682537177077216,0.4449426538332748,0.731638418079096,isotonic,0.08526408257141492,0.2945311846745167,0.08629711775657645
consequence,lightgbm,4,21520,2391,353,0.808,0.28611898016997167,0.4225941422594142,0.90545221527521,0.6515460973633254,0.437217903669366,0.7280453257790368,isotonic,0.08768260095829085,0.3005722701680745,0.0856959538549692
consequence,lightgbm,5,21520,2391,353,0.7894736842105263,0.254957507082153,0.3854389721627409,0.896972396978652,0.6411870272556519,0.40484203431281535,0.7110481586402266,isotonic,0.08880860511756525,0.30354559401323267,0.08397495614712142
consequence,lightgbm,6,21520,2391,353,0.86,0.3654390934844193,0.5129224652087475,0.9115078383239692,0.7079287024347711,0.5195366696809898,0.7252124645892352,isotonic,0.08378015863219195,0.29174774010841326,0.08973252513567156
consequence,lightgbm,7,21520,2391,353,0.7762237762237763,0.31444759206798867,0.4475806451612903,0.9024657568521046,0.6638964835997934,0.44691533681453777,0.7252124645892352,isotonic,0.08760617052392454,0.3015886759388135,0.09293773929737367
consequence,lightgbm,8,21520,2391,353,0.8203125,0.29745042492917845,0.4365904365904366,0.8798584681421268,0.6327747094554422,0.4509812330946847,0.6883852691218131,isotonic,0.09149382341521026,0.3128246670215981,0.0872916498356566
consequence,lightgbm,9,21520,2391,353,0.8529411764705882,0.3286118980169972,0.47443762781186094,0.900396711768189,0.6767150047217784,0.48827308731123154,0.6968838526912181,isotonic,0.08583223129227863,0.29582683728772907,0.08583448343800239
consequence,lightgbm,10,21520,2391,353,0.8888888888888888,0.31728045325779036,0.46764091858037576,0.8866459368319215,0.6525923424447901,0.4928413430997905,0.6770538243626062,isotonic,0.0894183617811509,0.30565857127236173,0.08234948866340998
severity,logistic_regression,1,21519,2392,231,0.5228426395939086,0.8917748917748918,0.6592,0.9654380788115171,0.7788002718815435,0.640860769491873,0.9307359307359307,uncalibrated,,,
severity,logistic_regression,2,21520,2391,230,0.5210526315789473,0.8608695652173913,0.6491803278688525,0.9595879524374786,0.7232666927665959,0.6263519318006874,0.9260869565217391,uncalibrated,,,
severity,logistic_regression,3,21520,2391,230,0.5417789757412399,0.8739130434782608,0.6688851913477537,0.9583787698931655,0.7417655458063355,0.6476345718401944,0.908695652173913,uncalibrated,,,
severity,logistic_regression,4,21520,2391,230,0.5052356020942408,0.8391304347826087,0.630718954248366,0.9584169969619539,0.7661770511148732,0.6049192480588794,0.9173913043478261,uncalibrated,,,
severity,logistic_regression,5,21520,2391,230,0.4824120603015075,0.8347826086956521,0.6114649681528662,0.9544534535138725,0.7445712166433308,0.585340630533806,0.8782608695652174,uncalibrated,,,
severity,logistic_regression,6,21520,2391,230,0.536,0.8739130434782608,0.6644628099173554,0.9682494014445807,0.7619838665988772,0.6433091583857575,0.9521739130434783,uncalibrated,,,
severity,logistic_regression,7,21520,2391,231,0.5427807486631016,0.8787878787878788,0.6710743801652893,0.9662578162578164,0.7714878141457021,0.6503219634279135,0.9437229437229437,uncalibrated,,,
severity,logistic_regression,8,21520,2391,231,0.538659793814433,0.9047619047619048,0.6752827140549273,0.9686167227833896,0.7768662549008138,0.6585534590857708,0.948051948051948,uncalibrated,,,
severity,logistic_regression,9,21520,2391,231,0.5172413793103449,0.8441558441558441,0.6414473684210527,0.9538560205226871,0.7533823387300198,0.6160088478073097,0.9090909090909091,uncalibrated,,,
severity,logistic_regression,10,21520,2391,231,0.4963680387409201,0.8874458874458875,0.6366459627329193,0.9644881353214687,0.7571281673915302,0.6183057767102773,0.9264069264069265,uncalibrated,,,
severity,logistic_regression,1,21519,2392,231,0.8029197080291971,0.47619047619047616,0.5978260869565217,0.9645566526640103,0.775652063962143,0.5894315934639864,0.9307359307359307,platt,0.043981370237176166,0.15123477388777262,0.03214505203947919
