variant,model,held_out_project,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
severity,decision_tree,org.apache:dbcp,23798,113,22,1.0,0.5909090909090909,0.7428571428571429,0.7954545454545454,0.670555108608206,0.7332988972630962,0.5909090909090909
severity,decision_tree,org.apache:digester,23578,333,21,0.4166666666666667,0.23809523809523808,0.30303030303030304,0.6078296703296703,0.14725439725439723,0.2812626590443567,0.23809523809523808
severity,decision_tree,org.apache:felix,20174,3737,574,0.6966019417475728,0.5,0.5821501014198783,0.7302402782168828,0.42510054272286324,0.5301178236797004,0.5487804878048781
severity,decision_tree,org.apache:hive,18604,5307,669,0.6550079491255962,0.6158445440956651,0.6348228043143297,0.784528567864995,0.4518096781772361,0.5843578373803321,0.6457399103139013
severity,decision_tree,org.apache:httpclient,23214,697,59,0.3333333333333333,0.288135593220339,0.3090909090909091,0.6174220285850912,0.15630344738143295,0.25102361107488824,0.4745762711864407
severity,decision_tree,org.apache:httpcore,23129,782,41,0.3333333333333333,0.34146341463414637,0.3373493975903614,0.6518383200026333,0.14834799243133096,0.3002423238762456,0.3902439024390244
severity,decision_tree,org.apache:net,23661,250,42,0.5641025641025641,0.5238095238095238,0.5432098765432098,0.7210393772893773,0.3754822954822955,0.4554937535323681,0.5238095238095238
severity,decision_tree,org.apache:thrift,23732,179,25,0.5909090909090909,0.52,0.5531914893617021,0.7307792207792209,0.3743118334179787,0.48729942220537065,0.56
severity,decision_tree,org.apache:vfs,23506,405,38,0.45098039215686275,0.6052631578947368,0.5168539325842697,0.7644844399827907,0.3099988533425066,0.46490930011550907,0.6052631578947368
severity,decision_tree,org.apache:zookeeper,23166,745,58,0.5961538461538461,0.5344827586206896,0.5636363636363636,0.751957536515585,0.3548755629928969,0.5298847555167124,0.603448275862069
severity,random_forest,org.apache:archiva,22326,1585,88,0.9615384615384616,0.2840909090909091,0.43859649122807015,0.9826053622396308,0.7856921250056724,0.5109488805136092,1.0
severity,random_forest,org.apache:batik,22199,1712,225,0.7415730337078652,0.5866666666666667,0.6550868486352357,0.9493402077262197,0.7385185590906592,0.6151618411667882,0.8444444444444444
severity,random_forest,org.apache:bcel,23440,471,60,0.8888888888888888,0.13333333333333333,0.2318840579710145,0.9586171938361718,0.7519620836110857,0.31878270202672887,0.8833333333333333
severity,random_forest,org.apache:cayenne,20341,3570,189,0.9523809523809523,0.21164021164021163,0.3463203463203463,0.9715457841751838,0.6898952110699029,0.43827548101859964,0.9947089947089947
severity,random_forest,org.apache:cocoon,21209,2702,117,0.7741935483870968,0.41025641025641024,0.5363128491620112,0.978687034006183,0.6729414667285333,0.5503125309748258,1.0
severity,random_forest,org.apache:codec,23794,117,2,0.0,0.0,0.0,0.8760869565217391,0.12179487179487179,-0.017391304347826087,0.5
severity,random_forest,org.apache:commons-cli,23752,159,11,0.75,0.2727272727272727,0.4,0.9508599508599509,0.6044030530872636,0.4309876755502214,0.9090909090909091
severity,random_forest,org.apache:commons-fileupload,23861,50,4,0.0,0.0,0.0,1.0,1.0,0.0,1.0
severity,random_forest,org.apache:commons-jelly,23492,419,13,1.0,0.15384615384615385,0.26666666666666666,0.9851269420234937,0.6602527714479656,0.38702436876516944,1.0
severity,random_forest,org.apache:commons-jexl,23753,158,16,1.0,0.25,0.4,0.9606073943661972,0.7024345066275847,0.48012444274321264,1.0
