variant,model,fold,n_train,n_test,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20,resampler
severity,svm,8,21520,2391,231,0.4951923076923077,0.8917748917748918,0.6367851622874807,0.9608445566778901,0.7423655117036929,0.6191920068043153,0.9090909090909091,smote
severity,svm,9,21520,2391,231,0.46318289786223277,0.8441558441558441,0.598159509202454,0.9532838303671638,0.7135623404323789,0.5736041409006767,0.8701298701298701,smote
severity,svm,10,21520,2391,231,0.45353982300884954,0.8874458874458875,0.6002928257686676,0.9580477392977393,0.7117258490550019,0.5833202675060445,0.8961038961038961,smote
szz,logistic_regression,1,21519,2392,30,0.07773851590106007,0.7333333333333333,0.14057507987220447,0.9229607677109795,0.1837902041163461,0.21460567838207428,0.9,smote
szz,logistic_regression,2,21520,2391,29,0.0782312925170068,0.7931034482758621,0.14241486068111456,0.9061140471254635,0.1767171284769742,0.2261167884175467,0.8620689655172413,smote
szz,logistic_regression,3,21520,2391,29,0.06624605678233439,0.7241379310344828,0.12138728323699421,0.9222605039563199,0.19636195595962583,0.19328650267946984,0.8620689655172413,smote
szz,logistic_regression,4,21520,2391,29,0.07641196013289037,0.7931034482758621,0.1393939393939394,0.9204940290227452,0.15588783564361455,0.22286806522102096,0.8620689655172413,smote
szz,logistic_regression,5,21520,2391,30,0.0683453237410072,0.6333333333333333,0.12337662337662338,0.9108146265706621,0.219986031109633,0.1818295050591753,0.8333333333333334,smote
szz,logistic_regression,6,21520,2391,30,0.06405693950177936,0.6,0.1157556270096463,0.8694903289566568,0.1647029964422797,0.16887816198073524,0.7333333333333333,smote
szz,logistic_regression,7,21520,2391,30,0.05704697986577181,0.5666666666666667,0.10365853658536585,0.8754341380770859,0.18217985934963243,0.15085294238886826,0.7333333333333333,smote
szz,logistic_regression,8,21520,2391,30,0.08235294117647059,0.7,0.14736842105263157,0.904306084992235,0.20114433919464592,0.21668681603216455,0.8333333333333334,smote
