project_id,model,t1,t2,n_train,n_test,n_pos_train,n_pos_test,precision,recall,f1,roc_auc,pr_auc,mcc,ce_at_20
org.apache:vfs,xgboost,2012-02-15 21:08:53+00:00,2019-02-01 02:24:06+00:00,391,469,76,90,0.6,0.26666666666666666,0.36923076923076925,0.7529316915860451,0.48677300164087595,0.3164480496190581,0.4888888888888889
org.apache:zookeeper,xgboost,2012-03-30 22:29:08+00:00,2018-05-30 00:23:11+00:00,676,908,49,149,0.8888888888888888,0.10738255033557047,0.19161676646706588,0.7775287158129294,0.4583544493628956,0.27830848697292165,0.5100671140939598
org.apache:archiva,lightgbm,2011-07-28 05:49:37+00:00,2012-10-19 21:13:37+00:00,1465,1671,292,179,0.2750809061488673,0.4748603351955307,0.3483606557377049,0.8377079994608114,0.30359157405640924,0.25867864668520557,0.5083798882681564
org.apache:batik,lightgbm,2001-10-04 14:48:40+00:00,2003-08-14 09:32:29+00:00,1638,2025,328,143,0.36,0.5034965034965035,0.4198250728862974,0.8438389453267241,0.38029515068311953,0.3739412290998446,0.6713286713286714
org.apache:bcel,lightgbm,2014-12-19 00:05:30+00:00,2016-06-25 21:47:44+00:00,445,483,89,8,0.02857142857142857,0.125,0.046511627906976744,0.7242105263157895,0.041840163198363374,0.026298514066487925,0.625
org.apache:cayenne,lightgbm,2011-05-15 11:23:02+00:00,2016-08-18 07:41:01+00:00,3406,4631,436,914,0.3117134559535334,0.3522975929978118,0.3307652799178223,0.6895547337356484,0.28580080856514556,0.15394056865421105,0.31181619256017507
org.apache:cocoon,lightgbm,2004-07-12 13:36:43+00:00,2006-09-16 23:47:26+00:00,2331,3499,459,696,0.5396825396825397,0.14655172413793102,0.2305084745762712,0.5693279163129815,0.3352995793175181,0.20398780438788075,0.32471264367816094
org.apache:codec,lightgbm,2011-08-06 02:19:20+00:00,2016-05-16 20:53:33+00:00,100,136,19,27,0.35714285714285715,0.18518518518518517,0.24390243902439024,0.7883112470268434,0.4841015995057376,0.13470008777724243,0.5185185185185185
org.apache:commons-jelly,lightgbm,2003-01-16 09:17:17+00:00,2004-09-08 04:19:22+00:00,401,487,80,94,0.9,0.09574468085106383,0.17307692307692307,0.7175301824481619,0.42269129847203624,0.2593687393660726,0.3723404255319149
org.apache:commons-jexl,lightgbm,2009-08-02 21:58:04+00:00,2015-12-09 10:41:16+00:00,144,222,29,31,0.6923076923076923,0.2903225806451613,0.4090909090909091,0.7471710859652085,0.4667792693884072,0.3976658871581343,0.5161290322580645
org.apache:configuration,lightgbm,2012-07-14 20:35:03+00:00,2014-08-24 17:23:38+00:00,256,515,51,103,0.6623376623376623,0.49514563106796117,0.5666666666666667,0.8960788010180036,0.6357345741625461,0.4846269804765062,0.6407766990291263
org.apache:daemon,lightgbm,2010-03-19 23:03:51+00:00,2017-07-08 02:35:18+00:00,12,18,3,4,0.0,0.0,0.0,0.5,0.2222222222222222,0.0,0.5
